Well,Sample,OD(600)
A1,A1,0.063
A2,A2,0.062
A3,A3,0.062
A4,A4,0.041
A5,A5,0.058
A6,A6,0.057
A7,A7,0.057
A8,A8,0.065
A9,A9,0.047
A10,A10,0.099
A11,A11,0.045
A12,A12,0.039
B1,B1,0.113
B2,B2,0.082
B3,B3,0.108
B4,B4,0.083
B5,B5,0.112
B6,B6,0.078
B7,B7,0.039
B8,B8,0.081
B9,B9,0.076
B10,B10,0.093
B11,B11,0.099
B12,B12,0.038
C1,C1,0.100
C2,C2,0.128
C3,C3,0.099
C4,C4,0.039
C5,C5,0.063
C6,C6,0.079
C7,C7,0.055
C8,C8,0.082
C9,C9,0.098
C10,C10,0.040
C11,C11,0.039
C12,C12,0.038
D1,D1,0.065
D2,D2,0.093
D3,D3,0.041
D4,D4,0.098
D5,D5,0.096
D6,D6,0.096
D7,D7,0.086
D8,D8,0.038
D9,D9,0.038
D10,D10,0.038
D11,D11,0.037
D12,D12,0.037
E1,E1,0.060
E2,E2,0.057
E3,E3,0.059
E4,E4,0.039
E5,E5,0.053
E6,E6,0.055
E7,E7,0.057
E8,E8,0.060
E9,E9,0.044
E10,E10,0.087
E11,E11,0.043
E12,E12,0.037
F1,F1,0.102
F2,F2,0.080
F3,F3,0.099
F4,F4,0.076
F5,F5,0.102
F6,F6,0.074
F7,F7,0.038
F8,F8,0.075
F9,F9,0.076
F10,F10,0.087
F11,F11,0.091
F12,F12,0.038
G1,G1,0.095
G2,G2,0.125
G3,G3,0.095
G4,G4,0.045
G5,G5,0.058
G6,G6,0.078
G7,G7,0.055
G8,G8,0.077
G9,G9,0.090
G10,G10,0.042
G11,G11,0.041
G12,G12,0.038
H1,H1,0.063
H2,H2,0.090
H3,H3,0.046
H4,H4,0.096
H5,H5,0.096
H6,H6,0.095
H7,H7,0.080
H8,H8,0.038
H9,H9,0.039
H10,H10,0.039
H11,H11,0.038
H12,H12,0.038
